replicate,scenario,family,family_label,abundance,mean_capacity,population,window_mean_wealth_gini,window_mean_welfare,final_wealth_gini,final_mean_energy
2,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,32,0.12981976453315577,0.0,0.1279902064406213,0.0
2,patchy_low,patchy,Patchy,low,0.35,4,0.02030146881385102,0.035923121689016645,0.019151155638622575,0.049560685254665456
2,patchy_low,patchy,Patchy,low,0.35,8,0.04406748361172423,0.024385177240554983,0.041285312550471076,0.038463301559910144
2,patchy_low,patchy,Patchy,low,0.35,16,0.06063079024747365,0.006289264869059654,0.05817252370631065,0.005945245980183434
2,patchy_low,patchy,Patchy,low,0.35,32,0.13325183431228038,0.0,0.1313184705558159,0.0
2,centralized_low,centralized,Centralized,low,0.35,4,0.019952383429936823,0.03851292296724106,0.017783339142589227,0.04988523154352725
2,centralized_low,centralized,Centralized,low,0.35,8,0.04914625901309402,0.027363722506498666,0.04998260657178433,0.0385597946715139
2,centralized_low,centralized,Centralized,low,0.35,16,0.05921657813146378,0.006029019693460988,0.05910843779384156,0.006864114727755794
2,centralized_low,centralized,Centralized,low,0.35,32,0.122475720660413,0.0,0.12120740738026536,0.0
2,decentralized_low,decentralized,Decentralized,low,0.35,4,0.025596209761987065,0.037770412635290566,0.02525067085883914,0.052361591254028866
2,decentralized_low,decentralized,Decentralized,low,0.35,8,0.05363599770834416,0.02448300407358934,0.05338321149107195,0.042523717217115495
2,decentralized_low,decentralized,Decentralized,low,0.35,16,0.06177821381710203,0.005778964671398368,0.061133343498448234,0.007863927612142156
2,decentralized_low,decentralized,Decentralized,low,0.35,32,0.12702757757270267,0.0,0.12527806195816127,0.0
2,fragmented_low,fragmented,Fragmented,low,0.35,4,0.020734026837903083,0.034465903006364006,0.02136341339020964,0.04325756274448283
2,fragmented_low,fragmented,Fragmented,low,0.35,8,0.04109814391288996,0.02153597966039636,0.04117722156158066,0.040485524755093996
2,fragmented_low,fragmented,Fragmented,low,0.35,16,0.057587262431284876,0.006076855034411705,0.056243227084534775,0.006634729890979958
2,fragmented_low,fragmented,Fragmented,low,0.35,32,0.13922875244515454,0.0,0.13734773778708687,0.0
3,uniform_high,uniform,Uniform,high,0.75,4,0.020946840671734558,0.2244947293293763,0.020239443885816444,0.3343002774633842
3,uniform_high,uniform,Uniform,high,0.75,8,0.034940867079245375,0.17404047817289672,0.03643873445561718,0.22870454234948326
3,uniform_high,uniform,Uniform,high,0.75,16,0.04901851926584669,0.051250630296156924,0.047467992087991684,0.07712544883952238
3,uniform_high,uniform,Uniform,high,0.75,32,0.16527495456905253,0.0,0.16425054534630146,0.0
3,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,4,0.022474774477083424,0.21082229603815952,0.021081312868309388,0.3361543138997204
3,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,8,0.03604629192375757,0.1693571261824581,0.03637591145428298,0.23370261432245698
3,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,16,0.04886639116272815,0.054192801049485144,0.04609612310110678,0.08128594888605317
3,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,32,0.16975947954175288,0.0,0.168600353978263,0.0
3,patchy_high,patchy,Patchy,high,0.75,4,0.02180163337745679,0.23125200867409387,0.020353153435962446,0.3586917043504546
3,patchy_high,patchy,Patchy,high,0.75,8,0.033877109790890744,0.17229668343613613,0.03540302955776209,0.2316046510834075
3,patchy_high,patchy,Patchy,high,0.75,16,0.04822794019534976,0.050642076939582614,0.04510066372105581,0.07714163846893646
3,patchy_high,patchy,Patchy,high,0.75,32,0.166359496127735,0.0,0.16542709168451308,0.0
3,centralized_high,centralized,Centralized,high,0.75,4,0.01963739555009579,0.20513155149632964,0.018057385019668137,0.32354445715519187
3,centralized_high,centralized,Centralized,high,0.75,8,0.03836034972537426,0.18536961185805706,0.04103710363397273,0.24401011399872913
3,centralized_high,centralized,Centralized,high,0.75,16,0.054069492828157005,0.05283468794474469,0.054035752550482874,0.07983907755020464
3,centralized_high,centralized,Centralized,high,0.75,32,0.16339649557504443,0.0,0.16240632641751773,0.0
3,decentralized_high,decentralized,Decentralized,high,0.75,4,0.019074490442771205,0.2304675209819466,0.01965182427012291,0.3103272067136563
3,decentralized_high,decentralized,Decentralized,high,0.75,8,0.03616921845699897,0.17417090256567097,0.03888847361044667,0.22668897674293956
3,decentralized_high,decentralized,Decentralized,high,0.75,16,0.0555646019323202,0.04772349145563177,0.05547797191038617,0.07361969864419993
3,decentralized_high,decentralized,Decentralized,high,0.75,32,0.16019971084908233,0.0,0.15937274112680044,0.0
3,fragmented_high,fragmented,Fragmented,high,0.75,4,0.01917414983909685,0.2372869658914297,0.018778227015965543,0.3466996568238896
3,fragmented_high,fragmented,Fragmented,high,0.75,8,0.03313916917135727,0.17229012049196904,0.035974728753044305,0.21587058003359813
3,fragmented_high,fragmented,Fragmented,high,0.75,16,0.05052967025066508,0.045834323495006914,0.04929766151284265,0.07057080464524597
3,fragmented_high,fragmented,Fragmented,high,0.75,32,0.1592475246724026,0.0,0.15845102130123756,0.0
3,uniform_low,uniform,Uniform,low,0.35,4,0.023807759730016143,0.04163455848535537,0.01860199863853662,0.05440083388802709
3,uniform_low,uniform,Uniform,low,0.35,8,0.04849761118089669,0.023612361191004832,0.04487100118108156,0.03864635138773068
3,uniform_low,uniform,Uniform,low,0.35,16,0.059083399938201914,0.0062729089151042205,0.05656515123659367,0.011033290614796078
3,uniform_low,uniform,Uniform,low,0.35,32,0.17360369694155586,0.0,0.17256874008362044,0.0
3,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,4,0.030890825124628707,0.04103698356058228,0.02451955863266697,0.05486106746381787
3,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,8,0.0499020203126367,0.024011449597780475,0.04541788527995827,0.04162310036633689
3,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,16,0.05899651339558508,0.006654104068898459,0.0556127006376661,0.011970457527531305
3,weak_patchy_low,weak_patchy,Weak patchy,low,0.35,32,0.17684533659477722,0.0,0.17568581984686116,0.0
3,patchy_low,patchy,Patchy,low,0.35,4,0.025277899207654185,0.04021594592494671,0.021476867800852784,0.05864410152991752
3,patchy_low,patchy,Patchy,low,0.35,8,0.047231412858503886,0.02285442057873956,0.0435430218099675,0.03960243740972283
3,patchy_low,patchy,Patchy,low,0.35,16,0.05810546106827688,0.006304397548393936,0.055092909876315765,0.010937191275202048
3,patchy_low,patchy,Patchy,low,0.35,32,0.1743624603306484,0.0,0.1734396665338127,0.0
3,centralized_low,centralized,Centralized,low,0.35,4,0.021414068002587616,0.04885744783477604,0.014813502443040916,0.05840732464335657
3,centralized_low,centralized,Centralized,low,0.35,8,0.05084173788580565,0.027564507789847755,0.048697915067624775,0.04157579681912522
3,centralized_low,centralized,Centralized,low,0.35,16,0.06238419153237606,0.006165543834563011,0.06034525444283334,0.011149412204004273
