scenario,population,replicate,agent,x,y,region,policy_scarce,policy_moderate,policy_abundant,cooperation_preference,wealth,energy
centralized_low,32,3,agent_27,3,8,centralized_low,D,D,C,0.3333333333333333,23.63668466023548,12.636684660234557
centralized_low,32,3,agent_28,2,6,centralized_low,D,C,C,0.6666666666666666,8.863255697200824,0.0
centralized_low,32,3,agent_29,7,0,centralized_low,C,D,D,0.3333333333333333,4.326571692363128,0.0
centralized_low,32,3,agent_30,5,4,centralized_low,D,D,D,0.0,1.507121762907219,0.0
centralized_low,32,3,agent_31,9,9,centralized_low,D,D,D,0.0,0.7102117694024622,0.0
decentralized_high,8,3,agent_0,8,6,decentralized_high,C,D,C,0.6666666666666666,117.01199999999383,106.01200000000291
decentralized_high,8,3,agent_1,5,0,decentralized_high,D,D,C,0.3333333333333333,116.39999999999401,105.40000000000289
decentralized_high,8,3,agent_2,0,2,decentralized_high,C,D,D,0.3333333333333333,100.70399999999606,89.7040000000023
decentralized_high,8,3,agent_3,9,9,decentralized_high,C,D,C,0.6666666666666666,97.1579999999967,86.15800000000216
decentralized_high,8,3,agent_4,3,2,decentralized_high,C,D,D,0.3333333333333333,116.63399999999392,105.6340000000029
decentralized_high,8,3,agent_5,9,3,decentralized_high,D,D,C,0.3333333333333333,116.43599999999398,105.43600000000289
decentralized_high,8,3,agent_6,1,4,decentralized_high,D,D,C,0.3333333333333333,116.79599999999391,105.7960000000029
decentralized_high,8,3,agent_7,5,3,decentralized_high,D,D,C,0.3333333333333333,117.10199999999381,106.10200000000292
decentralized_high,16,3,agent_0,8,6,decentralized_high,D,D,C,0.3333333333333333,112.06199999999494,101.06200000000273
decentralized_high,16,3,agent_1,5,0,decentralized_high,D,D,C,0.3333333333333333,116.39999999999401,105.40000000000289
decentralized_high,16,3,agent_2,0,2,decentralized_high,D,D,D,0.0,101.886285686953,90.88628568695604
decentralized_high,16,3,agent_3,9,9,decentralized_high,D,D,C,0.3333333333333333,81.07327173987363,70.07327173987088
decentralized_high,16,3,agent_4,3,2,decentralized_high,C,D,D,0.3333333333333333,111.88199999999424,100.88200000000272
decentralized_high,16,3,agent_5,9,3,decentralized_high,D,D,C,0.3333333333333333,43.250583267146695,32.25058326714996
decentralized_high,16,3,agent_6,1,4,decentralized_high,D,D,C,0.3333333333333333,116.79599999999391,105.7960000000029
